LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
2239,kurczak z nadzieniem orzechowym,339,20,27.6,1.5
2240,kurczak z nadzieniem ry¿owym z bakaliami,327,19.5,25.8,3.9
2241,kurczak z nadzieniem z cielêciny,309,19.7,24.1,3.8
2242,kurczak z nadzieniem z podrobów,309,19,24.1,3.4
2243,kurczak z warzywami,93,11,4.5,3.5
2244,kurczêta pieczone,332,6.2,14,47.5
2245,kutia,332,6.2,14,47.5
2246,leczo,62,1.3,4.5,5.6
2247,³azanki,225,7.7,2.9,42.8
2248,³azanki z serem twarogowym,200,9.6,9.5,19
2249,lopatka cielêca w potrawce,99,14.1,3.6,2.9
2250,³osoœ marynowany z warzywami,142,9.1,9.3,2.5
2251,³osoœ w ³ódeczce z ogórka,80,10.1,4,2
2252,³osoœ wêdzony z jajkiem,168,14.4,12,1.9
2253,³osoœ z rusztu,133,12.1,8.4,2.6
2254,³osos z sosem twarogowym,193,18.7,13,0.9
2255,³osoœ zapiekany w muszelkach,146,10.5,9.9,3.4
2256,makrela w sosie cytrynowym,150,8,9.8,6.3
2257,makrela z grilla,175,29.7,5.3,0.9
2258,marchew oprószana,70,1,4.2,10
2259,marchewka z groszkiem oprószana,75,1.7,3.1,9.5
2260,marchewka zasma¿ana,75,1,4.9,7.1
2261,marchwianka,19,0.5,0,5.8
2262,mintaj sma¿ony z papryk¹,85,10.3,4,2.7
2263,mizeria ze œmietan¹ 12% t³uszczu,37,1.1,2.5,2.9
2264,m³ode kurczêta faszerwane kukurydz¹,180,16,11.6,3.8
2265,mostek cielêcy faszerowany,180,16.1,12,2.2
2266,naleœniki,166,4.6,4.8,25.9
2267,naleniki z cukrem,180,4.2,6.8,25.2
2268,naleœniki z jab³kami,172,3.9,4.6,29
2269,nalesniki z kapust¹,175,3.9,5,29
2270,naleœniki z miêsem,174,8,9.7,13.5
2271,naleœniki z serem twarogowym t³ustym,243,8,10.2,13.7
2272,naleœniki z warzywami,120,4,4.1,17
2273,okoñ pieczony z piwem,97,16.5,2,2
2274,okoñ po kaszubsku z boczkiem,150,23,5.7,1
2275,okoñ zapiekany z winem,132,19.6,4.7,1.5
2276,omlet biszkoptowy z kie³bas¹,311,12.3,20.4,20
2277,omlet biszkoptowy z twarogiem t³ustym,206,11.3,9.9,18.3
2278,omlet biszkoptowy ze szpinakiem,150,6.5,10.6,10.1
2279,omlet muœlinowy na œmietanie kremowej,231,8.1,21.4,1.8
2280,omlet naturalny z marchewk¹ i groszkiem,111,5,7.9,7.8
2281,omlet z porem i keczupem,118,7.2,8.5,4.1
2282,omlet z szynk¹,185,13.6,14.1,1.2
2283,omlet z zielonym groszkiem,120,8,7.4,7.7
2284,omlet ze szparagami,107,4.4,8.8,3
2285,ozory w galarecie,138,16.5,7.4,1.5
2286,papryka czerwona w sosie winegret,99,1,8.3,6
2287,papryka faszerowana miesem ry¿em i warzywami w sosie smietanowym,170,4,10.9,13.3
2288,papryka faszerowana ry¿em i rodzynkami,74,2.5,4,8.5
2289,paprykarz,120,4.8,4.5,14.6
2290,paprykarz z kasz¹ jaglan¹,120,5,4.4,15.6
2291,paprykarz z ³opatki cielêcej,100,1.5,4.6,2.4
2292,paprykarz z ³ososia z jarzynami,216,18,14.7,3.4
2293,pasta pieczarkowa z bazyli¹,111,8.5,4.5,19.1
2294,pasta pomidorowa z cieciork¹,148,7.7,3,19.5
2295,pasta sojowo-pieczarkowa,155,9,7.7,24.3
2296,pasta sojowo-pomidorowa,152,9.1,5.9,21.5
2297,pasta warzywna z cieciork¹,134,6.5,4,18.7
2298,pasta warzywna z soczewic¹,105,5.5,5,14
2299,pasta z jaj i zieleniny,234,8.8,22,1.9
2300,pasta z makreli,178,10,13.3,9.3
2301,pasta z miêsa wo³owego i pieczarek,174,10.6,13,4.3
2302,pasta z sera twarogowego i zieleniny,245,12.2,21,4.8
2303,pasta z sera ¿ó³tego i ryby,170,19.7,9.7,1.3
2304,paszteciki dro¿d¿owe z farszem miêsnym,297,12.9,14.7,28.3
2305,paszteciki dro¿d¿owe z farszem z kapusty,166,3.9,4.1,31.3
2306,paszteciki krucho-dro¿d¿owe z miesem wo³owym,201,9,9.5,20.8
2307,paszteciki z pieczarkami i miêsem drobiowym,157,8.7,10.4,7.8
2308,pasztet domowy wo³owo-wieprzowy,237,16.9,17.8,2
2309,pasztet koperkowy z cieciork¹,135,6.5,4,18.8
2310,pasztet meksykañski,164,8.8,3.1,24.2
2311,pasztet miêsno-grzybowy,143,11.5,10,3.1
2312,pasztet ogórkowy z cieciork¹,122,6.8,2.9,18.7
2313,pasztet orientalny,188,9.2,4.1,23.1
2314,pasztet wieprzowo-wo³owy,290,19.2,22.4,3.5
2315,pasztet z cielêciny,150,15.7,8.5,3
2316,pasztet z gesich w¹tróbek,335,9.8,29.2,11
2317,pasztet z kurczaka pieczony,211,14.2,14.1,7.2
2318,pasztet z ryb wêdzonych,148,12.6,10.4,1.1
2319,pieczarki faszerowane zapiekane z ¿ó³tym serem,93,4.5,7.7,3
2320,pieczarki sma¿one,115,2,11.9,2.2
2321,pieczeñ barania z ostrym sosem,251,13.6,20.6,4
2322,pieczeñ cielêca duszona,238,20,17.2,1.8
2323,pieczeñ cielêca po litewsku,135,14.7,7.3,2.5
2324,pieczeñ cielêca z pieca,126,16,5.9,1.1
2325,pieczeñ cielêca z pomarañcz¹,136,14.1,6,6.4
2326,pieczeñ huzarska z rostbefu,147,15.5,7.4,4.3
2327,pieczeñ rzymska,204,13.6,12.4,11
2328,pieczeñ wieprzowa z musztard¹ i czosnkiem,292,7,24.8,0.4
2329,pieczeñ wo³owa z sosem wiœniowym,158,14.5,9.8,2.4
2330,pieczeñ z karkówki wieprzowej z kapust¹,175,10.5,15,1.5
2331,pieczeñ z karkówki wieprzowej z winem i œliwkami,222,11.4,17,3.9
2332,pieczeñ z rostbefu duszona z cebul¹,170,28.6,4.8,1.5
2333,pieczeñ z rostbefu na dziko,144,16.5,8.3,1.7
2334,pieczeñ z rostbefu z jarzynami,130,15.1,6.7,1.6
2335,pieczeñ z szynki wieprzowej duszona z warzywami,192,12.7,14.9,2.2
2336,pieczeñ z szynki wieprzowej z owocami,211,12.1,16.2,4.6
2337,pieczeñ z szynki wieprzowej z warzywami i winem,224,14.5,7.5,1.7
2338,pieczeñ z wo³owiny,115,21,3.7,0
2339,pieczeñ ze schabu wieprzowego z jab³kami,145,14.4,8,5.1
2340,pierogi leniwe z twarogiem pó³t³ustym,155,11.5,3.3,19.5
2341,pierogi leniwe z twarogiem t³ustym ze zrumienion¹ bu³k¹ i mas³em,220,13.1,9.8,20
2342,pierogi ruskie z twarogiem pó³t³ustym i przesma¿on¹ s³onin¹,153,7,6,18.5
2343,pierogi ruskie z twarogiem pó³t³ustym i zrumienion¹ na maœle cebul¹,140,7,2,23
2344,pierogi ruskie z twarogiem t³ustym,145,5.8,2.6,26.3
2345,pierogi ruskie z twarogiem t³ustym i przesma¿onym boczkiem,180,6.1,7.2,22.6
2346,pierogi z grzybami,140,4.4,5.5,19.6
2347,pierogi z jab³kami i cynamonem,130,3.1,1.1,29.9
2348,pierogi z jagodami polane stopionym mas³em,186,3.3,3.6,36.1
2349,pierogi z kapust¹ grzybami i przesma¿on¹ s³onin¹,177,4.6,6,27.9
2350,pierogi z kapust¹ i grzybami,111,3.7,1.5,22.1
2351,pierogi z miêsem i zrumienion¹ cebul¹,250,13,10.5,25.5
2352,pierogi z serem t³ustym,196,13,4.4,26.2
2353,pierogi z serem t³ustym polane zrumienion¹ bu³k¹ i mas³em,235,11.2,7.9,29.5
2354,pierogi z truskawkami polane zrumienion¹ bu³k¹ i mas³em,250,4.1,1,29.8
2355,pierogi z wiœniami,135,3.8,1,29.5
2356,pierogi ze szpinakiem,152,6.5,4.3,25.6
2357,piero¿ki krucho-dro¿d¿owe z wiœniami,330,5,17.7,39.8
2358,pierœ z indyka z sa³atk¹ owocow¹,103,7.7,4.4,9
2359,pierœ z kurczaka z ananasem,102,17,0.9,5.8
2360,pikle z ogórków,34,0.4,0.2,9.5
2361,placek z ciasta ziemniaczanego (bambrzak),90,2.3,1.5,17
2362,placki ziemniaczane,115,2.5,3.8,19
2363,placki ziemniaczane z kie³bas¹ i warzywami,240,3.5,14.4,23.8
2364,placi ziemniaczane z grzybami,63,2.4,1.3,8
2365,polêdwica po angielsku,142,19.5,7,0
2366,polêdwica wieprzowa nadziana ¿ó³tym serem,210,18.1,15,0.7
2367,polêdwica wo³owa pieczona z kapust¹ i pieczarkami,87,10.8,4.3,3.4
2368,polêdwica wo³owa z ró¿nymi warzywami,75,10.2,3,3.5
2369,polêdwica wo³owa z rozna ze s³onink¹,192,18,13.1,0.4
2370,polêdwica z dzika z czarn¹ porzeczk¹,125,18.4,4.9,1.3
2371,pomidory duszone z cebul¹,23,1,0.4,4.8
2372,pomidory nadziewane tuñczykiem,56,7.1,2.6,3.2
2373,pomidory sma¿one,90,0.8,7.8,4.9
2374,pomidory w przecierze,35,2.1,0.6,65.7
2375,potrawka z kurczaka,142,14.1,8.5,2.9
2376,potrawka z ³opatki cielêcej,86,12.6,3,2.3
2377,pstr¹g z grilla w liœciach kapusty,147,18.5,7.5,1.5
2378,pstr¹g z piekarnika,209,17.3,14.9,1.3
2379,pstr¹g z warzywami,88,11,4.2,2.1
2380,pulpety cielêce w jarzynach,99,9.2,4.8,6.6
2381,pulpety wieprzowo-wo³owe w jarzynach,185,15.4,9.5,9.3
2382,puplety z dorsza z warzywami,115,14.2,2.6,7.8
2383,pyzy dro¿d¿owe,270,7.5,7.3,44.3
2384,pyzy ziemniaczane,217,3.6,6.3,37.6
2385,racuchy z dyni¹,222,5,11.1,27.3
2386,racuszki z cukini,160,2.7,11.5,11.5
2387,risotto,125,6.2,8.3,9.7
2388,rolada wieprzowa z ³opatki,411,21,33,7.8
2389,rolada z dorsza,90,11.6,1.4,8
2390,rolada z³ososia z warzywami,117,10.4,6.4,3.2
2391,rolada z szynki wieprzowej z farszem z bia³ej kie³basy,223,13.4,18.3,1.8
2392,rolada z indyka,125,12.9,6.7,3,p0
2393,rosó³ jarski,19,0.5,1.2,2.3
2394,rosó³ rumiany wo³owy,99,4.4,8.5,1.9
2395,rosó³ wo³owo-drobiowy,46,6,2.4,0.9
2396,rosó³ z cielêciny,45,7,1,1.6
2397,rosó³ z wo³owiny,75,4.3,5.6,1.9
2398,rostbef z ro¿na,180,23.6,8.9,1.4
2399,ro¿ki z ciasta francuskiego z jab³kami,395,4.8,25,38.8
2400,ro¿ki z mortadeli i sera ¿ó³tego,242,11.5,21.8,0.6
2401,rulony z szynki z musem jab³kowym,370,13,32.4,7.2
2402,rumsztyk wo³owy,114,19.8,3.3,0
2403,ryba maœlana z rusztu,133,11.6,9.4,0.3
2404,ryba morska z grilla z owocami,88,11.1,2.4,5.5
2405,ryba po grecku,101,10.7,4.9,5
2406,ry¿ na sypko z mas³em,125,2,2.9,22
2407,ry¿ zapiekany z jab³kami,126,1.9,3.2,22
2408,ry¿ zapiekany z pomidorami,121,3.3,8.9,9.2
2409,ry¿ zapiekany z szynk¹,210,12.3,12.4,13.6
2410,ry¿ zapiekny ze œliwkami i suszonymi grzybami,140,5.9,7,14.5
2411,sa³ata wiosenna z szynk¹ i twarogiem,150,8.5,12,2.6
2412,sa³ata zielona z olejem,121,0.9,12,2.2
2413,sa³ata zielona ze œmietan¹ 12% t³uszczu,47,1.6,2.5,4.4
2414,sa³atka Caesar z sosem,72,5,3.7,6.8
2415,sa³atka Coleslaw z sosem majonezowym,95,1.2,6.4,8.5
2416,sa³atka jajeczna z pieczarkami,119,6.5,9,5
2417,sa³atka jajeczna z szynk¹,151,12,10.2,1.5
2418,sa³atka KFC,21,0.6,0.3,3.8
2419,sa³atka meksykañska mro¿ona,45,3,0.4,10.9
2420,sa³atka owocowa z alkoholem,106,0.4,0.3,20
2421,sa³atka owocowa z orzechami,72,1,2.6,1.8
2422,sa³atka Piccante z sosem,90,19.2,5.5,3.4
2423,sa³atka pikantna z makreli,183,10.4,13.1,6.7
2424,sa³atka rybna z nowalijkami,132,9.1,10,1.8
2425,sa³atka ry¿owa z szynk¹ i owocami,135,5,6.3,15.7
2426,sa³atka selerowa z szynk¹ i serem,183,7.6,15.1,4.6
2427,sa³atka œledziowa,131,5.9,9.5,7.6
2428,sa³atka Vega bez sosu,36,1.1,1.4,4.7
2429,sa³atka warzywna z kurczakiem,94,7,5.1,5.8
2430,sa³atka warzywna z kurczakiem i ananasem,137,7.6,8.8,7
2431,sa³atka warzywna z ziemniaków buraków kukurydzy i kwaszonego ogórka,90,2,5,11.5
2432,sa³atka z bia³ej kapusty Rolnik,60,1.9,0.4,14.4
2433,sa³atka z broku³ów z bakaliami,156,3.1,12,11.2
2434,sa³atka z cykorii selera i kwaszonego ogórka,105,3,8.3,5.4
2435,sa³atka z dorsza,190,10,14,7.4
2436,sa³atka z kapusty buraków i marchwi,25,1.3,0.3,6.2
2437,sa³atka z kurczaka z owocami egzotycznymi,150,3.7,10.8,9.9
2438,sa³atka z pe³not³ustego sera twarogowego i warzyw,166,8.8,9.7,12
2439,sa³atka z pora ogórka kwaszonego z zielonym groszkiem,79,1.9,6.5,5.4
2440,sa³atka z salsefii,100,1.8,8.5,7.7
2441,sa³atka z tuñczyka kukurydzy i papryki,74,6.8,2.3,8
2442,sa³atka z zielonego groszku ogórka kwaszonego i jab³ka,51,3.4,0.5,10.6
2443,sa³atka z ziemniaków z cebul¹ i natk¹,111,1.6,7,11.9
2444,sa³atka z ¿ó³tego sera z jajkiem i ogórkiem,277,13.2,24,2.7
2445,sa³atka ze szparagów,75,1.6,6.5,4
2446,sa³atka ze œledzia w oleju z warzywami,188,8.3,15.5,5.8
2447,sandacz gotowany po polsku,66,10.5,2.3,1.1
2448,sandacz z jarzynami duszony,85,10.7,4,4.6
2449,sandacz z ry¿em,114,15.9,3.9,3.9
2450,sandacz zapiekany z kapust¹ kwaszon¹,73,7.7,4.5,3.5
2451,sandacz zapiekany z ziemniakami,127,11.8,5.4,10
2452,sarnina w czerwonym winie,87,13.8,2.5,3
2453,schab pieczony,215,20.8,14.2,0.8
2454,schab wieprzowy faszerowany œliwkami,190,20,10,4.7
2455,schab wieprzowy z chrzanem,160,17,8.9,4.5
2456,schab wieprzowy z farszem z bia³ej kie³basy i s³onin¹,202,12.5,15.3,4.5
2457,schab wieprzowy z kminkiem,221,24.1,12.2,1.4
2458,schab z musem jab³kowym,136,12,6,9.1
2459,schab ze œliwkami,158,16,7.6,6.5
2460,seler sma¿ony w cieœcie biszkoptowym,125,3.5,9,10
2461,seler sma¿ony w cieœcie naleœnikowym,90,3.4,2.8,15.7
2462,ser zgliwia³y sma¿ony,60,0.3,0.2,15.3
2463,serca wieprzowe duszone w winie,128,10.8,8.8,2
2464,serowe koreczki z papryk¹ i oliwk¹,196,14.8,13.5,4.3
2465,skrzyde³ka kurczaka na ostro z miodem,158,6.5,9.9,1.1
2466,smardze duszone w œmietanie,65,2.3,5,3.8
2467,soczewica z grzybami,130,6,4.2,18
2468,soja na sypko z mas³em,210,16.5,12.6,15.5
2469,spaghetti z sosem boloñskim,112,4,4.9,12.8
2470,steki wieprzowe z karkówki,473,21.8,42.9,1.7
2471,steki wieprzowe z szynki,157,15.7,9.4,2
2472,steki wo³owe z antrykotu,260,23,17.5,0.9
2473,strudel z farszem miêsnym,221,11.8,12.6,15.6
2474,strudel z farszem z kaszy gryczanej i grzybów,199,3.4,12.9,20.5
2475,strudel z farszem z szynki i ziemniaków,211,5.7,13.5,18.6
2476,szasz³yki wieprzowo-wo³owe,188,11.5,14.8,2.4
2477,szasz³yki wieprzowo-wo³owo-drobiowe,150,13.4,10.3,1
2478,szasz³yki z jagniêciny z ogórkiem,148,19.3,7.4,0.3
2479,szasz³yki z ³ososia,265,20.1,19.3,1.5
2480,szasz³yki z piersi kurczaka z ogórkiem,125,18.3,5.7,0.1
2481,szasz³yki z warzyw z serem,68,2,5,5.1
2482,szasz³yki z w¹tróbek drobiowych z boczkiem i pieczarkami,186,10.4,16,1.1
2483,szczupak duszony z borowikami,84,10.8,2.6,2.3
2484,szczupak faszerowany,94,16.3,2.5,1.5
2485,szczupak faszerowany w galarecie,53,9.6,0.7,2.3
2486,szczupak filety sma¿one,134,15.1,3.6,10.7
2487,szczupak filety w cieœcie sma¿one,155,18.1,3.6,12.5
2488,szczupak parpykarz,75,7.8,3.8,3.9
2489,szczupak pieczony,111,23.7,0.9,0
2490,szczupak pieczony ob³o¿ony plastrami s³oniny,172,16.4,10.6,1.6
2491,szczupak z jarzynami po polsku,87,12.8,3,2.8
2492,sznycel cielêcy duszony,140,12.9,7.8,4.1
2493,sznycel cielêcy naturalny,120,15.6,4.8,4
2494,sznycel cielêcy po wiedeñsku,303,14.4,23.9,6.7
2495,sznycel cielêcy z jajkiem,151,17,8,2.5
2496,sznycel cielêcy zapiekany,115,8.5,4.6,11.3
2497,sznycelki z dorsza,105,14,4.3,7
2498,sznycle cielêce w migda³owej panierce,181,17,8.7,8.4
2499,sznycle sojowe,325,33.8,1.9,43.1
2500,sznycle wo³owe z gruszkami,133,13.5,5.1,9.7
2501,szparagi z beszamelem,73,3.5,5.5,4
2502,szparagi purée z mas³em i œmietan¹,62,2.4,4.8,4.4
2503,szparagi w œmietanie,59,2,4.5,4.3
2504,szparagi z wody z mas³em,61,1.9,4,5.7
2505,szpinak zasma¿any,58,3,3.4,5.1
2506,szpinak zasma¿any z serem pleœniowym i œmietan¹,95,3.6,6,5.9
2507,sztufada wo³owa,202,7.4,14,1.3
2508,sztuka miêsa z mostka wo³owego z sosem ziemniaczanym,177,11.1,13.6,3.6
2509,sztuka miêsa z mostka wo³owego z warzywami,168,10.9,13.1,2.3
2510,szynka wedzona gotowana,390,22.9,33.1,0
2511,szynka wieprzowa gotowana z warzywami,121,8.3,9.7,0.9
2512,szynka wieprzowa na dziko,235,15.5,18.8,1.6
2513,szynka z bananami w sosie cumberland,150,5.5,6.9,18.2
2514,œledzie marynowane z cebul¹,106,9,6.9,2.5
2515,œledzie marynowane z pieczarkami i cebul¹,168,13.4,10,6.7
2516,œledzie w majonezie z jab³kami i zielonym groszkiem,198,9,16.4,5.4
2517,œledzie w oliwie z cebul¹,205,8.4,18.3,2.6
2518,œledzie w sosie jogurtowym,110,7.4,7.3,4.4
2519,œledzie w sosie majonezowo-¿urawinowym,393,5.9,38.2,7.1
2520,œledzie w sosie œliwkowym z migda³ami,327,13,22.1,20.4
2521,œledzie w sosie œmietankowo-jogurtowym z jab³kiem i ogórkiem kwaszonym,110,7.7,7.5,4.2
2522,œledzie w œmietanie z jab³kiem i cebul¹,225,10.6,18.9,3.5
2523,œledzie zapiekane z ziemniakami,135,7.6,8.1,9.2
2524,œledziowe filety w sosie œmietankowym,297,8.2,28.1,3.9
2525,œledziowe rolmopsy,100,5.5,7.1,4
2526,tatar z polêdwicy wo³owej z ogórkiem i cebul¹,163,13,11.8,1
2527,tuñczyk z sosem jogurtowo-chrzanowym,145,7,4.5,9.7
2528,tymbaliki z dorsza zapiekane w sosie pomidorowym,115,15.7,5,2.3
2529,udka kacze z jab³kami i bkaliami,211,7,16.6,9.7
2530,udka z kurczaka sma¿one z miodem,170,16,10.3,3.6
2531,udziec z sarny w winnym sosie,90,13,2.4,4.2
2532,uszka z grzybowym farszem,118,4,4.6,16
2533,vol-au-vent z kurczakiem i pieczarkami,19,7.5,15.2,14.8
2534,w¹troba cielêca po nelsoñsku,93,6,,6,3,11
2535,w¹troba wieprzowa sauté,243,18,17.5,4.2
2536,w¹tróbka cielêca w sosie maderowym,121,11.4,6.1,5.3
2537,w¹tróbka cielêca z gruszkami,131,11.4,5.8,9
2538,w¹tróbki drobiowe z jab³kami,132,11.5,6.7,7
2539,wegetariañskie placki selerowe z p³atkami owsianymi,145,2.4,11.2,12.7
2540,wêgorz duszony z kawa³kami karpia i boczkiem,235,13,17.4,1.1
2541,wêgorz rolada z farszem grzybowo-warzywnym,174,9,14.1,3.4
2542,wêgorz w sosie koperkowym,209,10.4,16.6,3.5
2543,wêgorz zapiekany z wêdzonym boczkiem pieczarkami i cebul¹,266,8,25.8,1.7
2544,wieprzowina po chiñsku,131,10,7.2,6.6
2545,wigilijna kapusta z grzybami,85,2.5,5,8.5
2546,wigilijne kluski z makiem i bakaliami,301,7.7,10.9,47
2547,wo³owina gotowana w warzywach,125,15.5,5.1,25.2
2548,wo³owina w sosie w³asnym,143,17.1,7.4,2.5
2549,zaj¹c w œmietanie,210,14.3,16,2.4
2550,zakwas z buraków do barszczu,11,0.3,0,2.7
2551,zapiekane ogórki z farszem miêsno-warzywnym,131,5.8,11.4,3
2552,zapiekane pomidory z farszem ry¿owo-warzywnym z ¿ó³tym serem,71,3,3.5,7.4
2553,zapiekane pomidory z kie³bas¹ i jajkiem,119,5.9,10,2.2
2554,zapiekane zraziki wieprzowe w sosie œmietankowym,203,12,14,7.4
2555,zapiekanka z bak³a¿anów i ¿ó³tego sera,130,6.9,9.6,5.9
2556,zapiekana z filetów dorsza z boczkiem i cebul¹,97,14.5,4.1,0.6
2557,zapiekanka z grzybów w sosie œmietankowym z ¿ó³tym serem,280,6.3,17.5,25.6
2558,zapiekanka z kalafiora i wo³owiny w sosie œmietankowym,137,8.8,10.1,4
2559,zapiekanka z kaszy gryczanej z serem twarogowym,137,8.5,6.5,12.2
2560,zapiekanka z kaszy krakowskiej z broku³ami,113,4.9,4.6,13.3
2561,zapiekanka z kie³bas¹ pieczarkami i serem na cieœcie dro¿d¿owym,124,7,5.6,12.7
2562,zapiekanka z porów i kalarepki w cieœcie francuskim,87,2.5,7.1,3.6
2563,zapiekanka z ry¿u z jab³kami,138,1.9,2.8,24.7
2564,zapiekanka z ziemniaków i sera ¿ó³tego,147,7.5,5.6,16.2
2565,zapiekanka z ziemniaków wo³owiny wêdzonego boczku i ¿ó³tego sera,167,9.2,9.7,11.3
2566,zapiekanka z ziemniaków z grzybami i ¿ó³tym serem,132,3.3,7.7,12.5
2567,zapiekanka z ziemniaków z zio³ami,142,6,2.8,23.3
2568,zielone œledzie panierowane,197,13,11,13.2
2569,ziemniaki duszone z szynk¹,91,3.1,3.1,14.3
2570,ziemniaki pieczone w folii z mas³em czosnkowym,150,1.9,8.8,16.7
2571,ziemniaki pieczone z kminkiem,132,3.2,2,27
2572,ziemniaki po nelsoñsku z grzybami i œmietan¹,101,2.8,2.6,18.4
2573,ziemniaki po wêgiersku,102,2,3.4,16.7
2574,ziemniaki purée z mas³em i jogurtem,103,2,3.6,16
2575,ziemniaki zapiekane z grzybami,133,2.5,7.2,16
2576,zraziki z sarny w sosie œmietankowym,180,12.6,13.4,2.7
2577,zrazy cielêce zawijane,111,9.6,5.5,6.4
2578,zrazy nelsoñskie z grzybami i œmietan¹,133,8.3,7.6,9.2
2579,zrazy nelsoñskie z polêdwicy wo³owej z ziemniakami,77,7.5,1.8,8.8
2580,zrazy polskie zawijane z rostbefu wo³owego,130,12,6.4,5.7
2581,zrazy wo³owe bite z suszonymi grzybami,91,11.8,4,2
2582,zrazy wo³owe mielone z cebul¹ i suszonymi grzybami,245,18,15,10.3
2583,zrazy wo³owe w œmietanie na grzankach,161,10,7.7,13.5
2584,zrazy wo³owe z rostbefu z w³oszczyzn¹ i kalarep¹,111,10.3,4.9,3.9
2585,zrazy wo³owe zawijane,169,1.5,11.3,3.4
2586,zrazy z rostbefu wo³owego zapiekane z sosem piwnym,199,11.5,15.7,3.8
2587,zrazy z szynki cielêcej sma¿one,221,19.2,11.4,10.5
2588,zrazy z szynki cielêcej zapiekane,180,12.5,9.4,11.1
2589,zrazy zawijane z ³ososia,206,15.5,14.6,2.5
2590,zrazy zawijane z ³ososia z warzywami,151,12.9,9.9,2.4
2591,zrazy zawijane ze schabu wieprzowego duszone w winie,145,16.8,7.5,1.5
2592,zrazy zwijane ze schabu wieprzowego z ry¿em i boczkiem,158,12,10.4,5
2593,zupa cebulowa czysta,57,1.1,1.9,9.7
2594,zupa cytrynowa,36,3.6,1.6,2
2595,zupa cytrynowa z ry¿em,60,1.5,2.1,8.6
2596,zupa fasolowa,70,4.1,1.6,9.9
2597,zupa grochowa,77,4.5,2.5,8.8
2598,zupa gruszkowa,41,1.3,0.9,6.6
2599,zupa grzybowa czysta,20,0.4,0.4,3
2600,zupa grzybowa zabielana,31,1.4,2,1.7
2601,zupa gulaszowa na karkówce wo³owej z cynaderkami,115,4.6,9.2,4.5
2602,zupa gulaszowa z wo³owin¹,68,7.1,3.5,2.4
2603,zupa jab³kowa,35,0.4,0.3,7.6
2604,zupa jagodowa z bezami,27,0.5,0.3,6.8
2605,zupa jarzynowa,35,1.2,1,4.3
2606,zupa jarzynowa zabielana,46,1.5,1.7,6
2607,zupa jesienna z mro¿onki,25,1.5,0.3,7
2608,zupa kalafiorowa z mro¿onki,20,1.9,0.3,5.3
2609,zupa kalafiorowa zabielana œmietan¹ 9% t³uszczu,27,1.5,0.5,5
2610,zupa kalafiorowa zabielana œmietan¹ 18% t³uszczu,35,1.5,2.5,1.9
2611,zupa kminkowa,33,3.5,1.1,2
2612,zupa koperkowa,45,2.2,1.4,6
2613,zupa krem z brukselki,52,2.3,4.1,3.7
2614,zupa krem z grzybów,31,1.1,1.9,2.5
2615,zupa krem z jarzyn,20,1,0.7,2.9
2616,zupa krem z marchwi,35,2.3,1.9,3.2
2617,zupa krem z pieczarek,30,0.9,2.7,1.8
2618,zupa krem z pomidorów,33,1.1,2,3.2
2619,zupa krem z selerów zabielana œmietank¹,30,1,2,2
2620,zupa krem z selerów zagêszczana œmietank¹ i ¿ó³tkiem,42,3.5,2.2,2
2621,zupa krem z suszonych borowików,69,1.9,4.4,5.9
2622,zupa krem z zielonego groszku,60,1.4,4.7,3.8
2623,zupa krem ze szparagów zagêszczana ¿ó³tkiem i œmietank¹,56,2.9,3.7,2.3
2624,zupa krem ze œwie¿ych kurek,33,1,2.8,1.3
2625,zupa krem ze œwie¿ych zielonek,126,5.5,3.7,17.7
2626,zupa maœlankowa,49,2.2,1.4,8.8
2627,zupa miêsna przecierana,109,5.9,8.6,1.5
2628,zupa neapolitañska,32,3,1.4,2.4
2629,zupa neapolitañska z makaronem,65,2.3,2.7,8.3
2630,zupa nic,92,4.3,3,11.9
2631,zupa ogórkowa czysta,27,0.7,1.6,2.6
2632,zupa ogórkowa ze œmietan¹ 18% t³uszczu,45,1.2,2,5
2633,zupa owocowa,44,0.3,0.3,10.4
2634,zupa pieczarkowa czysta,20,0.7,1,2.2
2635,zupa pikantna z karpia,59,7.5,1.7,3.8
2636,zupa pomidorowa czysta,23,1.9,1.4,2
2637,zupa pomidorowa zabielana makaronem,62,1.4,1.7,10
2638,zupa pomidorowa zabielana ry¿em,40,1.5,1.9,11.7
2639,zupa poziomkowa na œmietanie,105,2,6.3,11
2640,zupa rybna œwi¹teczna z migda³ami i rodzynkami,57,6,2.1,4.5
2641,zupa selerowa z grzankami,55,1.4,1.9,7.9
2642,zupa selerowa zabielana,40,1.5,1.7,5
2643,zupa szczwiowa,39,1.9,2.8,1.6
2644,zupa szpinakowa z ziemniakami,40,2,1,6.4
2645,zupa wiejska jarzynowa,33,0.2,1.5,3.8
2646,w³oska z mro¿onki,26,1.9,0.2,7.1
2647,zupa z bia³ej kapusty,44,0.9,3,4.3
2648,zupa z czarnych jagód,40,0.1,0.2,10.3
2649,zupa z dyni zabielana,46,1.1,2.3,6
2650,zupa z fasolki szparagowej,35,2.2,1.3,4.9
2651,zupa z fasolki szparagowej z pulpetami cielêcymi,38,4.4,1.4,2.9
2652,zupa z jab³ek zabielana,33,0.2,0.6,7.5
2653,zupa z kapusty kwaszonej,25,1.6,1.4,1.6
