LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
1908,maniok,197,0.3,0.2,46
1909,marchew,28,0.9,0.3,8.5
1910,marchew gotowana,33,1.2,0.3,8.8
1911,marchew konserwowa,22,0.6,0.2,4.3
1912,marchew mro¿ona,25,1.1,0.3,7.9
1913,marchew mro¿ona gotowana,33,1.1,0.2,7.4
1914,marchew mro¿ona kostka,31,0.8,0.3,7.9
1915,marchew purée,72,1.2,3.9,9.8
1916,marchew z groszkiem konserwa,75,1.7,3.1,9.8
1917,marchew z groszkiem konserwa Bonduelle,92,3,3.4,13.9
1918,marchewka ca³a mini mro¿ona,21,0.7,0.2,8
1919,marchew z zielonym groszkiem mro¿ona,40,2.7,0.3,11.1
1920,mieszanka warzywna chiñska mrozona,70,5.3,2.6,8.9
1921,ogórek konserwowy,12,0.4,0.3,2.5
1922,ogórek kwaszony,12,0.9,0.2,2
1923,ogórek kwaszony gotowany,9,0.7,0.2,2.2
1924,ogórek zielony,14,0.8,0.2,3
1925,oliwki czarne w zalewie,111,0.5,10.2,3.5
1926,oliwki zielone marynowane,123,1.2,12.9,4.3
1927,oliwki zielone w zalewie,102,1,11.1,0
1928,papryka,32,1.3,0.2,7.2
1929,papryka chili konserwowa,18,0.6,0.2,4.4
1930,papryka czerwona,30,1.5,0.6,6.8
1931,papryka czerwona gotowana,33,1.5,0.6,7
1932,papryka czerwona konserwowa,31,0.9,1.3,5.1
1933,papryka zielona,19,1,0.3,4.7
1934,papryka zielona gotowana,22,1.2,0.4,5
1935,pasternak,57,1.7,0.5,15.8
1936,pasternak gotowany,63,1.9,0.5,17
1937,pêdy bambusa,30,2.1,0,5.8
1938,pêdy bambusa ods¹czone konserwa,24,1.6,0.5,5.3
1939,pêdy bambusa ods¹czone konserwa Rolnik,28,2.5,0.1,4.2
1940,pietruszka korzeñ,40,2.7,0.4,11
1941,pietruszka korzeñ gotowana,44,2.8,0.4,11.2
1942,pietruszka natka,42,4.5,0.5,8.8
1943,pietruszka natka suszona,310,41.5,2.2,53.8
1944,pochrzyn bulwy,135,2.1,0,33
1945,pomidor,16,1,0.3,3.7
1946,pomidor gotowany,22,1.2,0.2,4.4
1947,pomidor mi¹¿sz,46,2.2,0.4,9.7
1948,pomidor mro¿ony,21,1,0.3,3.5
1949,pomidor purée,48,1.3,3.1,4.8
1950,pomidor suszony,207,15.2,1.6,43.5
1951,por,25,2.3,0.4,5.9
1952,por gotowany,16,1,0.3,3.1
1953,portulaka,19,1.5,0.3,4
1954,rabarbar,8,0.6,0.1,4.4
1955,rabarbar gotowany z cukrem,111,0.4,0.1,29.5
1956,roszponka,19,2,0.4,3.5
1957,rukiew wodna,15,3.1,0,0.8
1958,rzepa,27,1.2,0.4,8
1959,rzepa gotowana,28,0.8,0.3,6.5
1960,rze¿ucha ogrodowa,19,2.5,0.6,1.3
1961,rzodkiewka,15,1.1,0.3,4.5
1962,rzodkiewka gotowana,22,1.3,0.6,3.9
